Name,Description,Order,Area Served,Type,Subtype,Spaces,Floor,Building,Dashboard,Device ID,Device Name,Description
VAV-1,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-1,1st,Building,VAV_Reheat_G36,1008,VAV-1,G36 VAV
VAV-2,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-2,1st,Building,VAV_Reheat_G36,1009,VAV-2,G36 VAV
VAV-3,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-3,1st,Building,VAV_Reheat_G36,1010,VAV-3,G36 VAV
VAV-4,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-4,1st,Building,VAV_Reheat_G36,1011,VAV-4,G36 VAV
VAV-5,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-5,1st,Building,VAV_Reheat_G36,1012,VAV-5,G36 VAV
VAV-6,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-6,1st,Building,VAV_Reheat_G36,1013,VAV-6,G36 VAV
VAV-7,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-7,1st,Building,VAV_Reheat_G36,1014,VAV-7,G36 VAV
VAV-8,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-8,1st,Building,VAV_Reheat_G36,1015,VAV-8,G36 VAV
VAV-9,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-9,1st,Building,VAV_Reheat_G36,1016,VAV-9,G36 VAV
VAV-10,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-10,1st,Building,VAV_Reheat_G36,1017,VAV-10,G36 VAV
VAV-11,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-11,1st,Building,VAV_Reheat_G36,1018,VAV-11,G36 VAV
VAV-12,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-12,1st,Building,VAV_Reheat_G36,1019,VAV-12,G36 VAV
VAV-13,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-13,1st,Building,VAV_Reheat_G36,1020,VAV-13,G36 VAV
VAV-14,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-14,1st,Building,VAV_Reheat_G36,1021,VAV-14,G36 VAV
VAV-15,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-15,1st,Building,VAV_Reheat_G36,1022,VAV-15,G36 VAV
VAV-16,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-16,1st,Building,VAV_Reheat_G36,1023,VAV-16,G36 VAV
VAV-17,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-17,1st,Building,VAV_Reheat_G36,1024,VAV-17,G36 VAV
VAV-18,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-18,1st,Building,VAV_Reheat_G36,1025,VAV-18,G36 VAV
VAV-19,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-19,1st,Building,VAV_Reheat_G36,1026,VAV-19,G36 VAV
VAV-20,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-20,1st,Building,VAV_Reheat_G36,1027,VAV-20,G36 VAV
VAV-21,G36 VAV,1,Office,HVAC_Equipment:Terminal_Unit,VAV w/Reheat,Rm-1-21,1st,Building,VAV_Reheat_G36,1028,VAV-21,G36 VAV
