Instance,Type,Name,Description,Tuning Policy
1,binaryValue,UnitStatus,Unit Status from AHU,COV_Recieve_Broadcast
11,binaryValue,DamperDir,Damper Direction (Off = CW),COV_Recieve_Broadcast
12,binaryValue,RoomOccupancy,Room Occupancy,COV_Recieve_Broadcast
15,binaryValue,DisHtCl_WrmUp,Disable Heat & Cool during Mrng Warm Up & Night Purge,COV_Recieve_Broadcast
18,binaryValue,HotWaterReheat,Hot Water Reheat ,COV_Recieve_Broadcast
49,binaryValue,InitDamper,Initialize Internal Actuator,COV_Recieve_Broadcast
50,binaryValue,DoZeroCalib,Do Zero Calibration for Internal Flow Sensor,COV_Recieve_Broadcast
200,binaryValue,AHUSystemOK,Air Handling Unit ready to serve Load,COV_Recieve_Broadcast
201,binaryValue,HotWaterSystemOK,Hot Water Plant System ready to serve Load,COV_Recieve_Broadcast
202,binaryValue,DemandLimitEnabled,Demand Limitation Enabled,COV_Recieve_Broadcast
203,binaryValue,ResetReqHrs,Reset Request Hours Accumulator,COV_Recieve_Broadcast
204,binaryValue,EnableFactorUpdate,Enable Heating and Cooling Factor Update,COV_Recieve_Broadcast
211,binaryValue,LowDischTempAlarm3,Low Discharge Temperature Alarm 3,COV_Recieve_Broadcast
212,binaryValue,LowDischTempAlarm4,Low Discharge Temperature Alarm 4,COV_Recieve_Broadcast
217,binaryValue,WindowContactAlarm4,Open Window Contact Alarm Level 4,COV_Recieve_Broadcast
218,binaryValue,FlowCalibAlarm,Airflow Calibration Alarm Level 3,COV_Recieve_Broadcast
219,binaryValue,LeakingDamperAlarm,Leaking Damper Alarm Level 4,COV_Recieve_Broadcast
220,binaryValue,ActFlowAlarm2,Airflow Alarm Level 2,COV_Recieve_Broadcast
221,binaryValue,ActFlowAlarm3,Airflow Alarm Level 3,COV_Recieve_Broadcast
9001,binaryValue,AutoReverseDamperDir,Auto Reverse Damper Direction,COV_Recieve_Broadcast
1,analogValue,ActFlow,Actual Flow Reading,COV_Recieve_Broadcast
2,analogValue,ActFlowSP,Actual Flow Setpoint,COV_Recieve_Broadcast
3,analogValue,Shedding,Shedding Demand (0-100%),COV_Recieve_Broadcast
5,analogValue,SpaceTemp,Actual Space Temperature,COV_Recieve_Broadcast
6,analogValue,DuctInTemp,Duct Inlet Temperature,COV_Recieve_Broadcast
7,analogValue,SetPtOffset,SetPoint Offset,COV_Recieve_Broadcast
8,analogValue,OutdoorTemp,Outdoor Air Temperature,COV_Recieve_Broadcast
9,analogValue,DamperOvr,Damper Override,COV_Recieve_Broadcast
10,analogValue,CO2Sensor,Actual CO2 Detection,COV_Recieve_Broadcast
12,analogValue,DischAirSP,Discharge Air Setpoint,COV_Recieve_Broadcast
13,analogValue,EffectSpaceTemp,Effective Space Temperature,COV_Recieve_Broadcast
19,analogValue,SpaceHumidity,Space Humitidy,COV_Recieve_Broadcast
20,analogValue,SensorSetpoint,Space Temperature Sensor Setpoint,COV_Recieve_Broadcast
26,analogValue,MinFlowSP,Minimum Flow Setpoint,COV_Recieve_Broadcast
27,analogValue,MaxFlowCoolSP,Cooling Maximum Flow Setpoint,COV_Recieve_Broadcast
28,analogValue,MinFlowHeatSP,Heating Minimum Flow Setpoint,COV_Recieve_Broadcast
29,analogValue,MaxFlowHeatSP,Heating Maximum Flow Setpoint,COV_Recieve_Broadcast
30,analogValue,MinFlowStbySP,Standby Minimum Flow Setpoint,COV_Recieve_Broadcast
31,analogValue,MinFlowUnoccSP,Unoccupied Minimum Flow Setpoint,COV_Recieve_Broadcast
32,analogValue,KFactor,Internal Flow Sensor K Factor,COV_Recieve_Broadcast
33,analogValue,FlowCalib,Internal Flow Sensor Calibration,COV_Recieve_Broadcast
34,analogValue,DamperResp,Damper Response,COV_Recieve_Broadcast
35,analogValue,DamperSpeed,Damper Speed,COV_Recieve_Broadcast
36,analogValue,ActCoolSP,Actual Cooling Setpoint,COV_Recieve_Broadcast
37,analogValue,ActHeatSP,Actual Heating Setpoint,COV_Recieve_Broadcast
38,analogValue,UnoccCoolSP,Unoccupied Cooling Setpoint,COV_Recieve_Broadcast
39,analogValue,StandbyCoolSP,Standby Cooling Setpoint,COV_Recieve_Broadcast
40,analogValue,OccCoolSP,Occupied Cooling Setpoint,COV_Recieve_Broadcast
41,analogValue,OccHeatSP,Occupied Heating Setpoint,COV_Recieve_Broadcast
42,analogValue,StandbyHeatSP,Standby Heating Setpoint,COV_Recieve_Broadcast
43,analogValue,UnoccHeatSP,Unoccupied Heating Setpoint,COV_Recieve_Broadcast
44,analogValue,TerminalLoad,Terminal Load,COV_Recieve_Broadcast
46,analogValue,ChgOverDelay,Change Over Delay (Heat/Cool),COV_Recieve_Broadcast
47,analogValue,BypassTime,Bypass Mode Override Time,COV_Recieve_Broadcast
48,analogValue,MaxOatDuctHeat,Maximum Outside Air Temperature for Duct Heater,COV_Recieve_Broadcast
49,analogValue,MaxOatPerimHeat,Maximum Outside Air Temperature for Perimeter Heat,COV_Recieve_Broadcast
50,analogValue,EffectSP,Effective Space Temperature Setpoint,COV_Recieve_Broadcast
51,analogValue,TempErr,Temperature Deviation from Setpoint,COV_Recieve_Broadcast
52,analogValue,CO2Setpoint,Actual CO2 Setpoint,COV_Recieve_Broadcast
53,analogValue,CO2Load,CO2 Load (0-100%),COV_Recieve_Broadcast
54,analogValue,HoldTime,Motion Sensor Hold Time,COV_Recieve_Broadcast
56,analogValue,MaxDischAirSP,Maximum Discharge Air Setpoint,COV_Recieve_Broadcast
58,analogValue,LowestCtrlFlow,Lowest controlable flow,COV_Recieve_Broadcast
68,analogValue,HeatModeTempErr,Temperature Deviation from Heating Setpoint,COV_Recieve_Broadcast
69,analogValue,CoolModeTempErr,Temperature Deviation from Cooling Setpoint,COV_Recieve_Broadcast
80,analogValue,EnDelayVPACC,VPACC Enable Delay,COV_Recieve_Broadcast
81,analogValue,CUSUM_K_VPACC,VPACC CUSUM K Param,COV_Recieve_Broadcast
82,analogValue,SpaceTempStdErr,Space Temperature Standard Deviation,COV_Recieve_Broadcast
